날짜,가맹점명,금액,카테고리,Month
2026-01-01,카카오T일반택시(법인)_3,4900,교통비,2026-01
2026-01-01,스타벅스_주문,2800,커피,2026-01
2026-01-01,버스타고_APP_네이버페이,16800,교통비,2026-01
2026-01-02,롯데리아창원상남점,1500,식비,2026-01
2026-01-03,aliexpress               London       GB,37842,쇼핑,2026-01
2026-01-03,주식회사 아성다이소,10000,생활비,2026-01
2026-01-03,주식회사 아성다이소,6000,생활비,2026-01
2026-01-06,주식회사 아성다이소,11000,생활비,2026-01
2026-01-06,이마트24 창원홈런점,5900,생활비,2026-01
2026-01-06,지에스(GS)25 산호대로점,2750,생활비,2026-01
2026-01-07,주식회사 우아한형제들,11900,식비,2026-01
2026-01-07,맥도날드창원상남점,4000,식비,2026-01
2026-01-08,주식회사 우아한형제들,11000,식비,2026-01
2026-01-10,땡겨요(신한은행),18900,식비,2026-01
2026-01-10,주식회사 아성다이소,10000,생활비,2026-01
2026-01-10,롯데리아 롯데마트마산양덕점,3000,식비,2026-01
2026-01-10,이마트24 마산야구거리점,4700,생활비,2026-01
2026-01-12,CU(씨유)창원레이크펄스점,3100,생활비,2026-01
2026-01-12,버스타고_APP_네이버페이,4500,교통비,2026-01
2026-01-12,카카오T일반택시_0,5500,교통비,2026-01
2026-01-12,베러먼데이코리아고신대학병원점,3700,커피,2026-01
2026-01-12,스타벅스_주문,1680,커피,2026-01
2026-01-13,욜로PC방 마산양덕점,3000,❓미분류,2026-01
2026-01-14,티머니 개인택시_0,13600,교통비,2026-01
2026-01-14,맥도날드창원상남점,5600,식비,2026-01
2026-01-15,(주)우아한형제들,20180,식비,2026-01
2026-01-15,빅마트24,600,❓미분류,2026-01
2026-01-18,쿠팡(와우 멤버십),7890,생활비,2026-01
2026-01-20,24시남양돼지국밥,19000,식비,2026-01
2026-01-22,쿠팡,4000,생활비,2026-01
2026-01-22,배민클럽_우아한형제들,1990,식비,2026-01
2026-01-22,(주)우아한형제들,2200,식비,2026-01
2026-01-22,주식회사 아성다이소,10000,생활비,2026-01
2026-01-23,킹스마트,28550,❓미분류,2026-01
2026-01-23,구글페이먼트코리아 유한회사,9000,❓미분류,2026-01
2026-01-24,홈플러스(주)마산점,4990,생활비,2026-01
2026-01-24,K-1 PC 방,5000,❓미분류,2026-01
2026-01-24,k2 PC방,6500,❓미분류,2026-01
2026-01-26,카카오T일반택시_0,5700,교통비,2026-01
2026-01-26,베러먼데이코리아고신대학병원점,4000,커피,2026-01
2026-01-26,(주)스타벅스코리아,7900,커피,2026-01
2026-01-26,스타벅스_주문,12320,커피,2026-01
2026-01-27,롯데리아마산양덕홈플러스점,5000,식비,2026-01
2026-01-27,스타벅스_충전 에스씨케이컴퍼）,10000,커피,2026-01
2026-01-28,GS25창원광장점,1500,❓미분류,2026-01
2026-01-28,롯데컬처웍스㈜,2000,❓미분류,2026-01
2026-01-29,쿠팡이츠,5900,식비,2026-01
2026-02-02,㈜우아한형제들,10000,식비,2026-02
2026-02-02,지에스(GS)25 산호대로점,1200,생활비,2026-02
2026-02-03,봄마리김밥 본점,5500,❓미분류,2026-02
2026-02-03,주식회사 아성다이소,20000,생활비,2026-02
2026-02-05,배스킨라빈스 마산산호점,9800,❓미분류,2026-02
2026-02-06,쿠팡,3790,생활비,2026-02
2026-02-06,(주)우아한형제들,21540,식비,2026-02
2026-02-08,스타벅스_주문,2240,커피,2026-02
2026-02-09,카카오T일반택시_0,5100,교통비,2026-02
2026-02-09,스타벅스_주문,20300,커피,2026-02
2026-02-09,전국버스운송사업조합연합회,4500,교통비,2026-02
2026-02-10,(주)우아한형제들,20050,식비,2026-02
2026-02-10,주식회사 아성다이소,20000,생활비,2026-02
2026-02-11,선물하기_카카오페,2920,❓미분류,2026-02
2026-02-11,주식회사 아성다이소,10000,생활비,2026-02
2026-02-12,오소록,3000,❓미분류,2026-02
2026-02-13,착한미용실 양덕점,9900,❓미분류,2026-02
2026-02-13,(주)이마트 창원점,29030,생활비,2026-02
2026-02-14,주식회사 아성다이소,10000,생활비,2026-02
2026-02-14,선물하기_카카오페,2920,❓미분류,2026-02
2026-02-16,세븐일레븐  마산터미널1호,4800,생활비,2026-02
2026-02-16,크라우드PC 부산 재송점,1000,❓미분류,2026-02
2026-02-17,스타벅스_주문,20740,커피,2026-02
2026-02-17,카카오_택시_9,11100,교통비,2026-02
2026-02-17,오엑스피씨방 반여동점,2500,❓미분류,2026-02
2026-02-17,오엑스피씨방 반여동점,1000,❓미분류,2026-02
2026-02-17,오엑스피씨방 반여동점,1000,❓미분류,2026-02
2026-02-18,오늘의집,13694,❓미분류,2026-02
2026-02-18,주식회사 우아한형제들,20000,식비,2026-02
